event_ts_min,ts_min_bignt,room,timestamp,co2,light,temp,humidity,pir
2013-08-23 23:30:00,1377300600,419,1377300624.6666667,684.6666666666666,135.33333333333334,23.55333333333333,53.0,27.666666666666668
2013-08-23 23:30:00,1377300600,666,1377300633.0,477.3333333333333,117.5,23.885,50.125,0.0
2013-08-23 23:30:00,1377300600,726,1377300625.0,459.8333333333333,3.8333333333333335,24.51,48.185,0.0
2013-08-23 23:30:00,1377300600,748,1377300627.0,561.1666666666666,4.833333333333333,23.201666666666668,50.580000000000005,0.0
2013-08-23 23:31:00,1377300660,666,1377300695.5,484.5,131.25,23.8725,50.144999999999996,0.0
2013-08-23 23:31:00,1377300660,726,1377300685.0,458.3333333333333,3.1666666666666665,24.506666666666664,48.17499999999999,0.0
2013-08-23 23:31:00,1377300660,748,1377300687.0,549.8333333333334,4.666666666666667,23.205,50.585,0.0
2013-08-23 23:32:00,1377300720,419,1377300749.0,666.0,132.6,245.84399999999997,52.95799999999999,29.2
2013-08-23 23:32:00,1377300720,666,1377300753.0,474.6666666666667,117.5,23.866666666666664,50.169999999999995,0.0
2013-08-23 23:32:00,1377300720,726,1377300745.0,460.1666666666667,3.1666666666666665,24.503333333333334,48.18,0.0
2013-08-23 23:32:00,1377300720,748,1377300747.0,551.5,4.666666666666667,23.203333333333333,50.585,0.0
2013-08-23 23:33:00,1377300780,419,1377300783.0,689.0,125.0,579.27,52.97,27.0
2013-08-23 23:33:00,1377300780,666,1377300813.0,477.1666666666667,108.0,23.855,50.196666666666665,0.0
2013-08-23 23:33:00,1377300780,726,1377300805.0,474.6666666666667,3.0,24.503333333333334,48.18,0.0
2013-08-23 23:33:00,1377300780,748,1377300807.0,550.8333333333334,4.833333333333333,23.198333333333334,50.595,0.0
2013-08-23 23:34:00,1377300840,666,1377300873.0,480.6666666666667,96.0,23.845,50.22833333333333,0.0
2013-08-23 23:34:00,1377300840,726,1377300865.0,472.8333333333333,3.1666666666666665,24.498333333333335,48.18,0.0
2013-08-23 23:34:00,1377300840,748,1377300867.0,550.5,4.666666666666667,23.2,50.60999999999999,0.0
2013-08-23 23:35:00,1377300900,666,1377300933.0,482.1666666666667,94.66666666666667,23.83,50.26,0.0
2013-08-23 23:35:00,1377300900,726,1377300925.0,469.8333333333333,3.0,24.496666666666666,48.18,0.0
2013-08-23 23:35:00,1377300900,748,1377300927.0,544.5,4.5,23.201666666666668,50.615,0.0
2013-08-23 23:36:00,1377300960,419,1377301003.0,703.5,106.5,23.595,52.97,29.5
2013-08-23 23:36:00,1377300960,666,1377300993.0,481.5,78.5,23.814999999999998,50.305,0.0
2013-08-23 23:36:00,1377300960,726,1377300985.0,463.3333333333333,3.5,24.5,48.19,0.0
2013-08-23 23:36:00,1377300960,748,1377300987.0,552.1666666666666,4.833333333333333,23.19666666666667,50.620000000000005,0.0
2013-08-23 23:37:00,1377301020,666,1377301053.0,479.1666666666667,80.83333333333333,23.805000000000003,50.336666666666666,0.0
2013-08-23 23:37:00,1377301020,717,1377301041.0,425.5,94.5,23.4,51.17,0.0
2013-08-23 23:37:00,1377301020,726,1377301045.0,459.5,3.3333333333333335,24.493333333333336,48.185,0.0
